Client,Model,Tth,MAE,RMSE,R2,nMAE,Precision,Recall,F1,FAR,HTR
0,LSTM,50,174.73275387094867,195.59539025695958,-3.935757298426264,0.3565974568794871,0.055443548387096774,1.0,0.10506208213944604,1.0,1.0
0,GCN,30,65.33172730476626,89.98511037534936,-0.04466699356579551,0.13333005572401277,0.0,0.0,0.0,0.0,0.0
0,GAT,30,70.18748347989974,88.59291088765059,-0.012592039582677517,0.14323976220387702,0.0,0.0,0.0,0.0,0.0
1,LSTM,50,60.47684930936255,83.0978186818744,-1.05827597326804,0.13559831683713577,0.4106060606060606,1.0,0.5821697099892589,1.0,1.0
1,GCN,30,39.53806630914862,57.810352296811644,0.0038251134831195355,0.08865037289046776,0.0,0.0,0.0,0.0,0.0
1,GAT,30,36.946518605164805,55.692399157078775,0.07548021136130223,0.08283972781427086,0.9624060150375939,0.26556016597510373,0.416260162601626,0.0033377837116154874,0.26556016597510373
2,LSTM,50,121.63868188425526,154.42092420457297,-1.6232055968553643,0.24573471087728335,0.23582766439909297,1.0,0.381651376146789,1.0,1.0
2,GCN,30,72.87698405778328,95.99445940462343,-0.013706823780635702,0.14722623041976418,0.0,0.0,0.0,0.0,0.0
2,GAT,30,73.97305303474133,93.56784358717216,0.03689580001074089,0.14944051118129562,0.0,0.0,0.0,0.0,0.0
